BU,schedule,range,step,biweekly,ak_annual_salary
XE,A00,13,F,2544.0,66144.0
XE,A00,14,F,2733.0,71058.0
XE,A00,15,F,2927.25,76108.5
XE,A00,16,F,3139.5,81627.0
XE,A00,17,F,3357.0,87282.0
XE,A00,18,F,3594.0,93444.0
XE,A00,19,F,3840.0,99840.0
XE,A00,20,F,4103.25,106684.5
XE,A00,21,F,4382.25,113938.5
XE,A00,22,F,4686.0,121836.0
XE,A00,23,F,5025.0,130650.0
XE,A00,24,F,5367.0,139542.0
XE,A00,25,F,5767.5,149955.0
XE,A00,26,F,5974.5,155337.0
XE,A00,27,F,6199.5,161187.0
XE,A00,28,F,6415.5,166803.0
XE,A00,29,F,6642.75,172711.5
XE,A00,30,F,6876.0,178776.0
XE,A00,5,J,1597.5,41535.0
XE,A00,6,J,1692.75,44011.5
XE,A00,7,J,1800.75,46819.5
XE,A00,8,J,1909.5,49647.0
XE,A00,9,J,2026.5,52689.0
XE,A00,10,J,2148.75,55867.5
XE,A00,11,J,2292.0,59592.0
XE,A00,12,J,2451.0,63726.0
XE,A00,13,J,2626.5,68289.0
XE,A00,14,J,2821.5,73359.0
XE,A00,15,J,3022.5,78585.0
XE,A00,16,J,3241.5,84279.0
XE,A00,17,J,3465.75,90109.5
XE,A00,18,J,3711.0,96486.0
XE,A00,19,J,3964.5,103077.0
XE,A00,20,J,4236.75,110155.5
XE,A00,21,J,4524.75,117643.5
XE,A00,22,J,4838.25,125794.5
XE,A00,23,J,5188.5,134901.0
XE,A00,24,J,5541.75,144085.5
XE,A00,25,J,5955.0,154830.0
XE,A00,26,J,6168.75,160387.5
XE,A00,27,J,6401.25,166432.5
XE,A00,28,J,6624.0,172224.0
XE,A00,29,J,6858.75,178327.5
XE,A00,30,J,7099.5,184587.0
XE,A00,5,K,1649.25,42880.5
XE,A00,6,K,1747.5,45435.0
XE,A00,7,K,1859.25,48340.5
XE,A00,8,K,1971.75,51265.5
XE,A00,9,K,2092.5,54405.0
XE,A00,10,K,2218.5,57681.0
XE,A00,11,K,2366.25,61522.5
XE,A00,12,K,2530.5,65793.0
XE,A00,13,K,2712.0,70512.0
XE,A00,14,K,2913.0,75738.0
XE,A00,15,K,3120.75,81139.5
XE,A00,16,K,3346.5,87009.0
XE,A00,17,K,3578.25,93034.5
XE,A00,18,K,3831.75,99625.5
XE,A00,19,K,4093.5,106431.0
XE,A00,20,K,4374.75,113743.5
XE,A00,21,K,4671.75,121465.5
XE,A00,22,K,4995.75,129889.5
XE,A00,23,K,5357.25,139288.5
XE,A00,24,K,5721.75,148765.5
XE,A00,25,K,6148.5,159861.0
XE,A00,26,K,6369.0,165594.0
XE,A00,27,K,6609.0,171834.0
XE,A00,28,K,6839.25,177820.5
XE,A00,29,K,7081.5,184119.0
XE,A00,30,K,7330.5,190593.0
XE,A00,5,L,1702.5,44265.0
XE,A00,6,L,1804.5,46917.0
XE,A00,7,L,1920.0,49920.0
XE,A00,8,L,2035.5,52923.0
XE,A00,9,L,2160.75,56179.5
XE,A00,10,L,2290.5,59553.0
XE,A00,11,L,2443.5,63531.0
XE,A00,12,L,2613.0,67938.0
XE,A00,13,L,2800.5,72813.0
XE,A00,14,L,3007.5,78195.0
XE,A00,15,L,3222.0,83772.0
XE,A00,16,L,3455.25,89836.5
XE,A00,17,L,3694.5,96057.0
XE,A00,18,L,3956.25,102862.5
XE,A00,19,L,4226.25,109882.5
XE,A00,20,L,4517.25,117448.5
XE,A00,21,L,4823.25,125404.5
XE,A00,22,L,5157.75,134101.5
XE,A00,23,L,5531.25,143812.5
XE,A00,24,L,5907.75,153601.5
XE,A00,25,L,6348.0,165048.0
XE,A00,26,L,6576.0,170976.0
XE,A00,27,L,6823.5,177411.0
XE,A00,28,L,7061.25,183592.5
XE,A00,29,L,7311.75,190105.5
XE,A00,30,L,7569.0,196794.0
XE,A00,5,M,1758.0,45708.0
XE,A00,6,M,1863.0,48438.0
XE,A00,7,M,1982.25,51538.5
XE,A00,8,M,2101.5,54639.0
XE,A00,9,M,2231.25,58012.5
XE,A00,10,M,2364.75,61483.5
XE,A00,11,M,2523.0,65598.0
XE,A00,12,M,2697.75,70141.5
XE,A00,13,M,2891.25,75172.5
XE,A00,14,M,3105.0,80730.0
XE,A00,15,M,3327.0,86502.0
XE,A00,16,M,3567.75,92761.5
XE,A00,17,M,3814.5,99177.0
XE,A00,18,M,4084.5,106197.0
XE,A00,19,M,4363.5,113451.0
XE,A00,20,M,4664.25,121270.5
XE,A00,21,M,4980.0,129480.0
XE,A00,22,M,5325.75,138469.5
XE,A00,23,M,5711.25,148492.5
XE,A00,24,M,6099.75,158593.5
XE,A00,25,M,6554.25,170410.5
XE,A00,26,M,6789.75,176533.5
XE,A00,27,M,7045.5,183183.0
XE,A00,28,M,7290.75,189559.5
XE,A00,29,M,7549.5,196287.0
XE,A00,30,M,7815.0,203190.0
XE,A00,5,N,1815.0,47190.0
XE,A00,6,N,1923.75,50017.5
XE,A00,7,N,2046.75,53215.5
