JCC,Count
C0109,6
PI05A2,6
PL0723,6
PH0367,6
PE0310,6
PG06A2,6
PD0342,6
PI0461,6
C3424,6
X1614,6
PJ04C2,6
PH0124,6
PD0332,6
PB0454,6
PB0243,6
PC0544,6
PG0162,6
PD0814,6
X0339,6
X1523,6
PE0581,6
PC0323,6
M0023,6
PF0162,6
PK0122,6
PE0102,6
PD0443,6
PJ0250,6
PG03A5,6
PB0602,6
C0272,6
PG0134,6
PJ04A1,6
PD0203,6
PH0152,6
PD0942,6
PF0624,6
PI0146,6
PH0420,6
X2005C,6
C0327,5
PG0311,5
PC0272,5
PG0682,5
PI0352,5
X0557B,5
C0279,5
X0824,5
PF0431,5
PK0743,5
PI0441,5
X1528,5
X1522,5
C4105,5
X1700,5
PD0421,5
PI0211,5
X0858,5
PF0528,5
C4206,5
PI01C2,5
C3020,5
PH0191,5
PK0711,5
PF01A3,5
PF0413,5
L0463,5
PE0413,5
PI0151,5
PB0314,5
X0334,5
PC0412,5
L1041,5
PL0124,5
M0003,5
L1915,5
PI0464,5
C4220,5
PE0582,5
L6023,5
PJ0104,5
PC0132,5
PC0101,5
PG0681,5
PI0413,5
PG0161,5
PF0182,5
C3423,5
M0014,5
C3105,5
PF0183,5
X1353,5
PI0442,5
PD0944,5
PG0321,5
PB0351,5
PD0922,5
PH0365,5
L1051,5
PG0124,5
PE0251,5
X1526,5
X0868,5
PC0273,5
X0198,5
X1519,5
PG0450,4
PD0811,4
PE0233,4
PG0630,4
PL0262,4
PK0342,4
PB0242,4
PH0109,4
PL0462,4
C4224,4
PH0351,4
PC0360,4
X0225,4
PL0111,4
PB0725,4
PJ0141,4
C0685,4
PC0220,4
PF0516,4
PC0303,4
PF0323,4
M0002,4
PH0121,4
PF0533,4
PG0742,4
PK0709,4
PC0414,4
M0015,4
PE0531,4
L1833,4
PC0503,4
X0676,4
PK0123,4
L7143,4
PK0241,4
PF0460,4
X0711,4
PE0533,4
PI0452,4
PF0184,4
C0106,4
PB0530,4
C3457,4
PG0133,4
PC0513,4
PC0514,4
PK0114,4
PL0212,4
PG0232,4
,4
PI0542,4
PG0511,4
L1062,4
PC0211,4
PC0564,4
PD0731,4
PC0263,4
PI0472,4
PF0623,4
PG0514,4
X1650,4
PD0122,4
PF0206,4
PC0122,4
PB0713,4
X0529,4
C3506,4
L1119,4
C3606,4
PE0512,4
PB0442,4
PG0741,4
L6117,4
PG0606,4
PB0245,4
PL0822,4
PF0432,4
PD04A2,4
PC0502,4
X0677A,4
PD0102,4
PF0131,4
PJ0242,4
PC0280,4
PD0616,4
PB0305,4
X2591,4
PC0233,4
PJ0454,4
PG0112,4
C0684,4
PD0711,4
X1312B,4
PC0234,4
PL0642,4
L7142,4
PC0304,4
PB9916,4
PG0177,4
PL0721,3
PE0412,3
X1534,3
PE0101,3
X2154,3
PC0504,3
L3618,3
PD04A1,3
PF0154,3
PI0505,3
PE0255,3
PD04B1,3
PD0733,3
PK0112,3
PC0232,3
PD0513,3
PB0611,3
C0135,3
PE0585,3
L1616,3
PD0331,3
X0211,3
PC0274,3
C0108,3
PL0634,3
PF0532,3
PH0211,3
PL0240,3
PD0562,3
L6026,3
PC0206,3
PI0311,3
PJ0231,3
PB0624,3
C0303,3
PH0105,3
PG0240,3
PC0259,3
C4225,3
PI0335,3
C3129,3
PD0202,3
PJ0451,3
PK0125,3
M0009,3
PB0503,3
PG0195,3
PK0142,3
PE0583,3
X2456,3
X0881,3
C3206,3
C3021,3
PH0162,3
L1117,3
PG0621,3
PK0143,3
PL0722,3
PC0401,3
L1057,3
L4038,3
PD0422,3
PF0120,3
C0136,3
PC0541,3
PD0653,3
PD0670,3
X0066A,3
PH0383,3
X2291,3
C0158,3
PC0554,3
PF0571,3
PC0333,3
PC0352,3
PJ0326,3
L7126,3
PL0832,3
PC0105,3
X0701A,3
PG0603,3
PB0232,3
PE0401,3
PF0301,3
X2146,3
PC0209,3
C3605,3
PI0142,3
PF0511,3
PC0562,3
PK0124,3
PE0121,3
M0025,3
X2272,3
L1275,3
PK0131,3
PL0312,3
PG0422,3
PH0161,3
PD0612,3
PC0123,3
X1529,3
PJ04C3,3
PE0645,3
PJ0108,3
PE0542,3
PC0501,3
PE0342,3
L1227,3
PE0611,3
PE0622,3
PD04B2,3
PC0522,3
L5424,3
PC0553,3
PK0137,3
PD0816,3
X1458,3
PI0435,3
PA0191,3
PI0451,3
PH0167,3
C0132,3
PL07A2,3
C5206,3
PK0444,2
PH0172,2
X0215A,2
C4104,2
X0854,2
X0332,2
X0428B,2
X0836,2
PG0352,2
PL0821,2
PJ0225,2
PE0641,2
PF0538,2
L9398,2
PD0450,2
C3410,2
PC0215,2
CE188,2
L1262,2
PG0324,2
C4208,2
PC0325,2
PH0212,2
PL0123,2
PD0655,2
X0280,2
X0855B,2
M0016,2
X1706,2
PC0111,2
PD0460,2
PI0303,2
X1857,2
L6027,2
PF0302,2
PG0532,2
PB0308,2
L2018,2
PF0137,2
PC0125,2
X0826B,2
PF0117,2
PK0113,2
C0271,2
C0236,2
X2520,2
L6119,2
L6315,2
PJ0226,2
X1021,2
X1490,2
L0471,2
C3452,2
PB9993,2
PI0454,2
PI0127,2
X1426,2
PD0941,2
X1568,2
X1182B,2
PB0495,2
C3201,2
X1227B,2
PL0823,2
X1431,2
X1595B,2
X0856,2
PD0222,2
X0826A,2
PG0531,2
X1209B,2
X0538,2
X1633A,2
PB9915,2
PG0745,2
PI0405,2
PI0517,2
X0681,2
C3426,2
PH0153,2
C3723,2
PH0141,2
PL0715,2
PF0161,2
PG0141,2
PI0465,2
C3121,2
X1633B,2
PD0105,2
PF03A4,2
PB0332,2
X2475,2
X0193A,2
PD0842,2
PD0644,2
PI0555,2
PC0293,2
PB0401,2
C4214,2
L6024,2
PI0473,2
PD0204,2
PD0470,2
PC0570,2
PF0173,2
PC0552,2
X0523,2
PL0214,2
X2232,2
PB0498,2
T0102,2
C3122A,2
C3421,2
X0701B,2
